season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2025,8,2,11,11.0,84.61,0,1,0,0,7*,0,10,19.0,8.63,13.2,22/3,7,1,22,3,247,0,0.9942575975923569,5.463110829395151,4.960909059134364,3.2778,Below Average,50,27,249,37,0,0,13,7
2026,2,1,5,0.0,166.66,1,0,0,0,5*,1,2,30.0,7.5,24.0,35/2,5,1,35,2,247,0,0.0,1.7727752843631488,4.960909059134364,1.6144,Poor,50,27,249,37,0,0,13,7
2011,2,2,14,14.0,70.0,0,0,0,0,13,0,0,0.0,0.0,0.0,,13,0,0,0,248,0,1.2181746283713355,0.0,4.2596254562365,1.4974,Poor,3,3,20,0,0,0,0,2
2012,1,1,6,6.0,100.0,0,0,0,0,6,0,0,0.0,0.0,0.0,,6,0,0,0,248,0,0.43366393456570335,0.0,4.2596254562365,0.8719,Poor,3,3,20,0,0,0,0,2
2023,11,11,190,21.11,123.37,23,4,0,1,100*,3,0,0.0,0.0,0.0,,100,1,0,0,249,0,5.530902365803723,0.0,7.342529123104505,5.3065,Average,11,11,190,0,0,1,3,1
2019,8,1,1,0.0,20.0,0,0,0,0,1*,0,7,34.0,8.81,23.14,2/25,1,1,2,25,250,0,0.0,3.3589868558348037,7.240676269710922,2.9381,Below Average,8,1,1,7,0,0,0,1
2026,8,5,13,6.5,144.44,2,0,0,0,9*,3,8,28.5,10.36,16.5,12/3,9,1,12,3,251,0,1.1251008103593663,3.6540184565506757,7.240676269710922,3.4584,Below Average,8,5,13,8,0,0,3,1
2012,12,3,15,7.5,100.0,1,0,0,0,10,0,9,37.77,8.29,27.33,5/27,10,0,5,27,252,0,1.0630891418375066,3.775242387950124,5.442693262384273,2.9911,Below Average,117,48,280,147,0,0,12,12
2014,3,3,13,6.5,185.71,1,1,0,0,6,0,4,28.25,10.27,16.5,5/27,6,0,5,27,252,0,1.3308346328367042,2.41546538209661,5.442693262384273,2.5914,Below Average,117,48,280,147,0,0,12,12
2015,15,7,19,3.8,158.33,0,2,0,0,9*,0,17,19.29,7.48,15.47,5/27,9,1,5,27,252,0,1.0750792475283686,7.102458636869779,5.442693262384273,3.9119,Below Average,117,48,280,147,0,0,12,12
