season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier
2016,5,1,0,0.0,0.0,0,0,0,0,0*,0,12,9.58,6.76,8.5,6/19,0,1,6,19,23,0
2017,6,1,5,5.0,71.42,1,0,0,0,5,0,7,23.28,8.21,17.0,6/19,5,0,6,19,23,0
2020,0,0,0,0.0,0.0,0,0,0,0,0,0,2,46.0,8.36,33.0,6/19,0,0,6,19,23,1
2023,6,3,10,3.33,62.5,0,0,0,0,7,0,8,23.5,8.54,16.5,22/3,7,0,22,3,23,0
2025,0,0,0,0.0,0.0,0,0,0,0,0,0,2,47.0,11.75,24.0,46/1,0,0,46,1,23,1
2023,2,2,22,11.0,137.5,2,1,0,0,18,0,2,28.0,8.0,21.0,23/2,18,0,23,2,24,0
2010,3,2,34,17.0,154.54,3,1,0,0,30,0,5,22.4,10.18,13.2,2/36,30,0,2,36,25,0
2010,7,4,50,12.5,138.88,5,3,0,0,23,0,0,0.0,0.0,0.0,,23,0,0,0,26,0
2013,5,5,123,24.6,146.42,14,5,1,0,59,0,0,0.0,0.0,0.0,,59,0,0,0,26,0
2014,15,12,126,15.75,128.57,16,3,0,0,24,0,0,0.0,0.0,0.0,,24,0,0,0,26,0
2015,2,2,14,7.0,82.35,1,0,0,0,7,0,0,0.0,0.0,0.0,,7,0,0,0,26,0
2016,3,2,8,4.0,53.33,1,0,0,0,8,0,0,0.0,0.0,0.0,,8,0,0,0,26,0
2017,3,3,18,6.0,78.26,3,0,0,0,18,0,0,0.0,0.0,0.0,,18,0,0,0,26,0
2010,3,3,42,21.0,100.0,5,1,0,0,33,0,0,0.0,0.0,0.0,,33,0,0,0,27,0
2011,6,6,120,20.0,137.93,21,2,1,0,51,0,0,0.0,0.0,0.0,,51,0,0,0,28,0
2021,6,6,146,29.2,122.68,12,4,0,0,42,0,0,0.0,0.0,0.0,,42,0,0,0,29,0
2022,14,12,381,47.63,139.05,25,19,3,0,68*,6,1,64.0,10.66,36.0,8/1,68,1,8,1,29,0
2023,13,13,248,22.55,125.88,18,8,1,0,50,10,1,70.0,8.57,49.0,24/1,50,0,24,1,29,0
2024,11,11,220,24.44,124.29,18,4,1,0,50,5,0,0.0,0.0,0.0,,50,0,0,0,29,0
2025,13,13,445,34.23,148.82,38,22,5,0,66,7,4,25.5,9.27,16.5,30/2,66,0,30,2,29,0
2026,12,11,231,25.67,138.32,20,11,0,0,45,8,0,0.0,0.0,0.0,,45,0,0,0,29,0
2008,0,0,0,0.0,0.0,0,0,0,0,0,0,1,24.0,6.0,24.0,2/19,0,0,2,19,30,1
2009,4,1,0,0.0,0.0,0,0,0,0,0*,0,3,39.0,7.31,32.0,2/19,0,1,2,19,30,0
2010,2,1,1,0.0,100.0,0,0,0,0,1*,0,2,33.0,8.25,24.0,2/19,1,1,2,19,30,0
2013,3,1,2,2.0,50.0,0,0,0,0,2,0,2,39.0,6.5,36.0,2/19,2,0,2,19,30,0
2008,2,2,4,2.0,23.52,1,0,0,0,4,0,0,0.0,0.0,0.0,,4,0,0,0,31,0
2009,8,7,144,24.0,117.07,12,3,2,0,62*,0,0,0.0,0.0,0.0,,62,1,0,0,31,0
2011,10,7,120,20.0,122.44,12,2,1,0,52,0,0,0.0,0.0,0.0,,52,0,0,0,31,0
2012,16,16,560,40.0,129.33,73,10,3,1,103*,0,0,0.0,0.0,0.0,,103,1,0,0,31,0
2013,18,18,488,34.85,106.55,42,11,4,0,68*,0,0,0.0,0.0,0.0,,68,1,0,0,31,0
2014,13,12,339,28.25,116.49,38,3,3,0,72,0,0,0.0,0.0,0.0,,72,0,0,0,31,0
2015,14,13,540,49.09,130.75,53,13,4,0,91*,0,0,0.0,0.0,0.0,,91,1,0,0,31,0
2016,14,14,480,43.63,126.64,54,9,6,0,74,0,0,0.0,0.0,0.0,,74,0,0,0,31,0
2017,16,16,382,25.46,118.26,35,9,2,0,60,0,0,0.0,0.0,0.0,,60,0,0,0,31,0
2018,15,14,370,28.46,118.21,39,5,1,0,65*,0,0,0.0,0.0,0.0,,65,1,0,0,31,0
2019,14,13,393,32.75,137.89,45,9,1,1,105*,0,0,0.0,0.0,0.0,,105,1,0,0,31,0
2020,9,8,113,14.12,105.6,12,2,1,0,60,0,0,0.0,0.0,0.0,,60,0,0,0,31,0
2021,2,1,8,8.0,100.0,1,0,0,0,8,0,0,0.0,0.0,0.0,,8,0,0,0,31,0
2022,7,7,133,19.0,103.9,14,4,0,0,44,3,0,0.0,0.0,0.0,,44,0,0,0,31,0
2023,14,11,326,32.6,172.48,24,16,2,0,71*,8,0,0.0,0.0,0.0,,71,1,0,0,31,0
2024,13,12,242,20.17,123.46,23,7,0,0,45,1,0,0.0,0.0,0.0,,45,0,0,0,31,0
2025,13,12,390,35.45,147.72,36,20,3,0,61,5,0,0.0,0.0,0.0,,61,0,0,0,31,0
2026,14,14,335,25.77,135.08,25,18,2,0,67,8,0,0.0,0.0,0.0,,67,0,0,0,31,0
2008,9,6,54,10.8,117.39,5,2,0,0,20,0,8,25.87,7.96,19.5,3/25,20,0,3,25,32,0
2009,11,7,66,33.0,115.78,3,3,0,0,39,0,6,47.33,9.16,31.0,3/25,39,0,3,25,32,0
2010,7,4,40,40.0,137.93,4,0,0,0,17,0,4,50.75,9.22,33.0,3/25,17,0,3,25,32,0
2011,7,2,7,7.0,116.66,1,0,0,0,7*,0,8,28.87,8.55,20.25,3/25,7,1,3,25,32,0
2012,0,0,0,0.0,0.0,0,0,0,0,0,0,3,44.66,9.34,28.66,3/25,0,0,3,25,32,1
2013,4,2,12,12.0,75.0,0,0,0,0,9*,0,0,0.0,0.0,0.0,,9,1,0,0,32,0
2012,0,0,0,0.0,0.0,0,0,0,0,0,0,5,17.2,6.14,16.8,4/13,0,0,4,13,33,1
2013,8,1,4,0.0,66.66,0,0,0,0,4*,0,6,26.0,6.24,25.0,4/13,4,1,4,13,33,0
2022,0,0,0,0.0,0.0,0,0,0,0,0,0,5,41.0,10.88,22.6,45/3,0,0,45,3,34,1
2023,2,1,17,17.0,212.5,2,1,0,0,17,1,1,59.0,11.8,30.0,29/1,17,0,29,1,34,0
2024,1,1,2,0.0,100.0,0,0,0,0,2*,0,1,55.0,15.71,21.0,55/1,2,1,55,1,34,0
2025,6,2,6,6.0,300.0,0,1,0,0,6*,0,3,76.33,12.05,38.0,55/2,6,1,55,2,34,0
2023,0,0,0,0.0,0.0,0,0,0,0,0,0,14,15.64,8.58,10.92,5/5,0,0,5,5,35,1
2024,5,1,4,0.0,80.0,0,0,0,0,4*,1,5,41.0,11.28,21.8,20/3,4,1,20,3,35,0
2025,4,1,4,0.0,44.44,0,0,0,0,4*,0,4,41.5,11.06,22.5,29/3,4,1,29,3,35,0
2023,0,0,0,0.0,0.0,0,0,0,0,0,0,5,37.6,9.89,22.8,40/2,0,0,40,2,36,1
2025,0,0,0,0.0,0.0,0,0,0,0,0,0,4,24.75,8.86,16.75,30/2,0,0,30,2,36,1
2026,0,0,0,0.0,0.0,0,0,0,0,0,0,4,20.0,11.42,10.5,26/3,0,0,26,3,36,1
2023,1,1,16,0.0,160.0,1,1,0,0,16*,0,1,40.0,10.0,24.0,40/1,16,1,40,1,37,0
2026,7,3,5,0.0,166.66,0,0,0,0,3*,2,8,24.75,8.02,18.5,17/4,3,1,17,4,37,0
2018,1,1,4,0.0,80.0,0,0,0,0,4*,0,0,0.0,0.0,0.0,,4,1,0,0,38,0
2026,3,2,29,14.5,116.0,1,1,0,0,18,1,0,0.0,0.0,0.0,,18,0,0,0,39,0
2012,5,3,73,24.33,123.72,6,2,0,0,42,0,1,32.0,10.66,18.0,1/32,42,0,1,32,40,0
2013,7,7,91,13.0,90.09,9,0,0,0,27,0,0,0.0,0.0,0.0,,27,0,0,0,40,0
2016,4,3,20,6.66,74.07,1,0,0,0,12,0,0,0.0,0.0,0.0,,12,0,0,0,41,0
2017,1,1,0,0.0,0.0,0,0,0,0,0*,0,0,0.0,0.0,0.0,,0,1,0,0,41,0
2018,1,1,9,9.0,69.23,1,0,0,0,9,0,0,0.0,0.0,0.0,,9,0,0,0,41,0
2019,8,5,61,12.2,107.01,5,2,0,0,24,0,0,0.0,0.0,0.0,,24,0,0,0,41,0
2008,13,10,241,34.42,147.85,18,14,1,0,71,0,17,23.47,8.31,16.94,4/32,71,0,4,32,42,0
2009,12,10,97,24.25,138.57,8,4,0,0,21*,0,13,24.92,8.1,18.46,4/32,21,1,4,32,42,0
2010,14,11,198,24.75,151.14,10,13,1,0,62,0,11,36.81,8.49,26.0,4/32,62,0,4,32,42,0
2011,15,13,138,23.0,135.29,8,8,0,0,30*,0,15,25.46,8.48,18.0,4/32,30,1,4,32,42,0
2012,16,12,107,15.28,157.35,5,6,0,0,28,0,13,29.61,7.77,22.84,4/32,28,0,4,32,42,0
2013,8,3,46,15.33,124.32,2,3,0,0,23,0,7,22.71,6.62,20.57,4/32,23,0,4,32,42,0
2014,7,5,45,15.0,109.75,1,3,0,0,16,0,4,31.5,7.87,24.0,4/32,16,0,4,32,42,0
2015,4,3,86,86.0,132.3,9,2,1,0,73*,0,3,36.33,9.08,24.0,4/32,73,1,4,32,42,0
2016,2,1,16,16.0,177.77,0,2,0,0,16,0,2,33.0,13.2,15.0,4/32,16,0,4,32,42,0
2020,3,3,32,16.0,110.34,0,1,0,0,14*,0,0,0.0,0.0,0.0,,14,1,0,0,43,0
2018,6,6,148,24.66,125.42,13,6,0,0,45,0,0,0.0,0.0,0.0,,45,0,0,0,44,0
2011,0,0,0,0.0,0.0,0,0,0,0,0,0,11,27.0,7.71,21.0,3/22,0,0,3,22,45,1
2012,4,2,19,9.5,126.66,1,1,0,0,12,0,3,36.33,7.78,28.0,3/22,12,0,3,22,45,0
2010,0,0,0,0.0,0.0,0,0,0,0,0,0,3,30.33,7.58,24.0,3/15,0,0,3,15,46,1
2011,5,1,2,0.0,40.0,0,0,0,0,2*,0,3,39.0,5.85,40.0,3/15,2,1,3,15,46,0
2012,1,1,3,0.0,60.0,0,0,0,0,3*,0,0,0.0,0.0,0.0,,3,1,0,0,46,0
2013,3,1,5,5.0,125.0,1,0,0,0,5,0,3,31.33,9.4,20.0,3/15,5,0,3,15,46,0
2019,3,2,15,0.0,115.38,2,0,0,0,15*,0,6,14.5,10.03,8.66,6/12,15,1,6,12,47,0
2022,9,3,5,5.0,71.42,0,0,0,0,4*,1,7,37.71,8.8,25.71,34/2,4,1,34,2,47,0
2023,7,2,7,0.0,58.33,1,0,0,0,7*,2,7,32.14,9.37,20.57,27/2,7,1,27,2,47,0
2024,0,0,0,0.0,0.0,0,0,0,0,0,0,1,115.0,11.89,58.0,43/1,0,0,43,1,47,1
2022,1,1,5,5.0,166.66,1,0,0,0,5,0,0,0.0,0.0,0.0,,5,0,0,0,48,0
2023,11,9,110,13.75,108.91,7,6,1,0,51,9,0,0.0,0.0,0.0,,51,0,0,0,48,0
2010,14,14,356,27.38,144.71,34,13,2,0,55*,0,0,0.0,0.0,0.0,,55,1,0,0,49,0
2011,16,16,395,28.21,112.85,44,9,4,0,63*,0,0,0.0,0.0,0.0,,63,1,0,0,49,0
2012,17,15,333,37.0,132.14,21,14,2,0,81*,0,0,0.0,0.0,0.0,,81,1,0,0,49,0
2013,19,17,265,18.92,114.71,22,4,0,0,37,0,0,0.0,0.0,0.0,,37,0,0,0,49,0
2014,15,14,361,25.78,125.78,31,8,2,0,68,0,0,0.0,0.0,0.0,,68,0,0,0,49,0
2015,15,14,281,31.22,145.59,18,16,1,0,53*,0,0,0.0,0.0,0.0,,53,1,0,0,49,0
2016,13,12,334,30.36,120.14,28,12,2,0,65,0,0,0.0,0.0,0.0,,65,0,0,0,49,0
2017,5,5,91,18.2,116.66,7,3,1,0,63,0,0,0.0,0.0,0.0,,63,0,0,0,49,0
2018,16,16,602,43.0,149.75,53,34,3,1,100*,0,0,0.0,0.0,0.0,,100,1,0,0,49,0
2019,17,17,282,23.5,93.06,20,7,1,0,57,0,0,0.0,0.0,0.0,,57,0,0,0,49,0
2020,12,11,359,39.88,127.3,30,12,1,0,71,0,0,0.0,0.0,0.0,,71,0,0,0,49,0
2021,16,13,257,28.55,151.17,16,17,2,0,72*,0,0,0.0,0.0,0.0,,72,1,0,0,49,0
2022,13,11,274,24.91,122.32,25,15,1,0,78,4,0,0.0,0.0,0.0,,78,0,0,0,49,0
2023,16,12,158,15.8,139.82,10,9,0,0,27*,2,0,0.0,0.0,0.0,,27,1,0,0,49,0
2008,6,3,37,12.33,88.09,3,0,0,0,31,0,11,12.9,7.15,10.81,5/17,31,0,5,17,50,0
2009,11,5,26,8.66,130.0,2,2,0,0,13*,0,14,21.0,6.97,18.07,5/17,13,1,5,17,50,0
2010,14,7,39,9.75,76.47,1,0,0,0,12,0,17,21.35,6.84,18.7,5/17,12,0,5,17,50,0
2011,14,9,68,17.0,138.77,9,1,0,0,25*,0,19,18.84,6.71,16.84,5/17,25,1,5,17,50,0
2012,14,5,16,5.33,80.0,1,0,0,0,8*,0,13,29.0,8.02,21.69,5/17,8,1,5,17,50,0
2013,17,8,89,14.83,92.7,9,0,0,0,30,0,21,18.76,6.35,17.71,5/17,30,0,5,17,50,0
2014,10,2,4,4.0,57.14,0,0,0,0,4*,0,7,48.57,9.06,32.14,5/17,4,1,5,17,50,0
2015,12,4,8,4.0,66.66,0,0,0,0,4,0,9,34.44,7.71,26.77,5/17,4,0,5,17,50,0
2016,14,2,4,2.0,28.57,0,0,0,0,3,0,13,26.46,7.47,21.23,5/17,3,0,5,17,50,0
2017,14,6,49,49.0,94.23,2,2,0,0,13*,0,10,34.3,8.83,23.3,5/17,13,1,5,17,50,0
2018,10,1,1,0.0,50.0,0,0,0,0,1*,0,12,22.0,7.13,18.5,5/17,1,1,5,17,50,0
2019,11,4,21,10.5,87.5,2,0,0,0,8,0,11,24.54,6.75,21.81,5/17,8,0,5,17,50,0
2020,0,0,0,0.0,0.0,0,0,0,0,0,0,3,24.0,7.2,20.0,5/17,0,0,5,17,50,1
2021,0,0,0,0.0,0.0,0,0,0,0,0,0,6,18.16,7.78,14.0,5/17,0,0,5,17,50,1
2023,7,1,19,19.0,63.33,2,0,0,0,19,1,7,21.28,7.84,16.28,21/2,19,0,21,2,50,0
2024,0,0,0,0.0,0.0,0,0,0,0,0,0,1,20.0,10.0,12.0,20/1,0,0,20,1,50,1
2011,4,4,49,12.25,85.96,9,0,0,0,20,0,0,0.0,0.0,0.0,,20,0,0,0,51,0
2009,5,2,1,1.0,33.33,0,0,0,0,1*,0,9,10.55,5.42,11.66,4/19,1,1,4,19,52,0
2011,9,2,1,0.5,25.0,0,0,0,0,1,0,9,23.88,7.54,19.0,4/19,1,0,4,19,52,0
2012,0,0,0,0.0,0.0,0,0,0,0,0,0,10,31.0,9.44,19.7,4/19,0,0,4,19,52,1
2010,2,2,4,4.0,57.14,0,0,0,0,4*,0,2,33.0,11.0,18.0,2/41,4,1,2,41,53,0
2011,0,0,0,0.0,0.0,0,0,0,0,0,0,3,16.66,10.0,10.0,3/27,0,0,3,27,54,1
2012,0,0,0,0.0,0.0,0,0,0,0,0,0,3,36.33,9.21,23.66,3/27,0,0,3,27,54,1
2013,0,0,0,0.0,0.0,0,0,0,0,0,0,2,21.0,5.25,24.0,3/27,0,0,3,27,54,1
2008,0,0,0,0.0,0.0,0,0,0,0,0,0,1,31.0,10.33,18.0,1/31,0,0,1,31,55,1
2012,4,2,47,23.5,180.76,3,3,0,0,31,0,1,161.0,10.06,96.0,5/15,31,0,5,15,56,0
2013,3,2,11,5.5,78.57,0,0,0,0,7,0,0,0.0,0.0,0.0,,7,0,0,0,56,0
2014,2,2,2,1.0,25.0,0,0,0,0,1,0,1,52.0,10.4,30.0,5/15,1,0,5,15,56,0
2015,13,11,326,36.22,192.89,35,19,3,0,66,0,14,23.14,7.96,17.42,5/15,66,0,5,15,56,0
2016,12,8,188,26.85,164.91,10,15,0,0,39*,0,15,19.4,7.97,14.6,5/15,39,1,5,15,56,0
2018,16,14,316,28.72,184.79,17,31,1,0,88*,0,13,27.3,9.38,17.46,5/15,88,1,5,15,56,0
2019,14,13,510,56.66,204.81,31,52,4,0,80*,0,11,26.09,9.51,16.45,5/15,80,1,5,15,56,0
2020,10,9,117,13.0,144.44,9,9,0,0,25,0,6,29.16,9.72,18.0,5/15,25,0,5,15,56,0
2021,10,9,183,26.14,152.5,14,14,1,0,54,0,11,17.09,9.89,10.36,5/15,54,0,5,15,56,0
2022,14,12,335,37.22,174.47,18,32,1,0,70*,1,17,16.35,9.86,9.94,5/4,70,1,5,4,56,0
2023,14,14,227,20.64,145.51,13,18,0,0,42,6,7,24.57,11.34,13.0,22/3,42,0,22,3,56,0
2024,15,9,222,31.71,185.0,20,16,1,0,64*,3,19,15.52,10.05,9.26,19/3,64,1,19,3,56,0
2025,13,10,167,18.56,163.72,16,14,1,0,57*,4,8,27.12,11.94,13.62,21/2,57,1,21,2,56,0
2009,3,3,62,31.0,116.98,5,2,0,0,24,0,2,52.5,9.54,33.0,1/11,24,0,1,11,57,0
2010,4,3,65,0.0,125.0,3,2,0,0,33*,0,5,27.6,9.85,16.8,2/25,33,1,2,25,58,0
2011,1,1,8,8.0,114.28,0,0,0,0,8,0,0,0.0,0.0,0.0,,8,0,0,0,58,0
